image_path,caption_1,caption_2,caption_3,caption_4,caption_5,category
/content/drive/MyDrive/Images/Mirror/MIRR (96).jpg,Breaking rules and mirrors since day one. 🖤,"""The reflection of true beauty and strength.""",reflecting on the good vibe,Limited edition,On the edge of style and chaos. ⚡,Mirror
/content/drive/MyDrive/Images/Mirror/MIRR (65).jpg,Life’s best moments happen between reflections. ✨,Every scar tells a story; this one’s about winning. 🖤🏆,"Silent, sharp, and stylish. 💥","When the outfit hits, you have to document. 📸",Brilliance,Mirror
/content/drive/MyDrive/Images/Mirror/MIRR (42).jpg,Reflections hit different when you’re feeling yourself.,"Happiness looks so good on me, don’t you agree?",I don’t follow trends; I start them. 🌟,"Abstract reflections, clear intentions. 🖤","Smiles so bright, they light up the whole mirror.",Mirror
/content/drive/MyDrive/Images/Mirror/MIRR (62).jpg,"When in doubt, pout. 😘",Taking a break to admire the results in progress.,"Serving unapologetic vibes, front and center.",My reflection called; it said I look good today. 📞😎,This glow wasn’t built overnight—it’s a whole process.,Mirror
/content/drive/MyDrive/Images/Mirror/MIRR (68).jpg,Reflecting on goals achieved and the limitless opportunities ahead.,"But first, let me take a selfie",just reflection,Rebels don’t need a reason to reflect. 💥,Mirror magic and good energy,Mirror
/content/drive/MyDrive/Images/Mirror/MIRR (70).jpg,Mirror Selfie,"Twice the style, twice the love in one shot.","Mirror reflects, but the vibe is all me","Mirror selfies, because no one else gets my angle. 📸","Better together, even in the mirror.",Mirror
/content/drive/MyDrive/Images/Mirror/MIRR (33).jpg,Not all reflections are visual—some are felt. 🌀,"Partners in posing, and basically everything else.",Confidence level: mirror selfie,We don’t need filters—our love shows through every angle.,Just a reminder that growth often starts with reflection.,Mirror
/content/drive/MyDrive/Images/Mirror/MIRR (50).jpg,Mirror moments and good intensions,Caught staring at myself again. Oops!,"""Don’t forget to reflect.""",This is what self-belief looks like—unstoppable.,Flexing is just goal-setting with muscles. 💥,Mirror
/content/drive/MyDrive/Images/Mirror/MIRR (39).jpg,"Twice the style, twice the love in one shot.",Selflove,"If I was you, I’d wanna be me too. -Meghan Trainor (Me Too)","Cool, calm, collected, and reflected. 💧",Edge isn’t just a style; it’s a mindset. 🖤💥,Mirror
/content/drive/MyDrive/Images/Mirror/MIRR (77).jpg,Mirror selfie game strong,Love at first glance—every single time.,"Mirror, mirror, tell me I'm fabulous",Mood? Just out here matching my own energy.,"Besties who slay together, stay together.",Mirror
/content/drive/MyDrive/Images/Mirror/MIRR (94).jpg,Fitness isn’t a look; it’s a vibe. ✨,"Strong mind, strong body, strong selfie game. 🧠","In the mirror, I see my past, my present, and my potential. 🕰️",You vs. you—always win. 🏆,Mirror selfies are just fashion showcases. 🎥👕,Mirror
/content/drive/MyDrive/Images/Mirror/MIRR (11).jpg,"It’s like your my mirror, my mirror staring back at me. — Justin Timberlake, Mirrors",I'm still not over this fit,"My energy is rare, and the mirror knows it.","Better together, even in the mirror.",This is your reminder to walk like you own the place. 🚶‍♂️,Mirror
/content/drive/MyDrive/Images/Mirror/MIRR (74).jpg,lost in the symmetry of my soul,Stare the way you look at your mirror,Slay everyday.,Reflections of a romance that keeps shining brighter.,Mirror magic and good energy,Mirror
/content/drive/MyDrive/Images/Mirror/MIRR (4).jpg,"Who sees the human face correctly: the photographer, the mirror, or the painter? — Pablo Picasso","Taking my vibes global, one mirror at a time. 🌍","Reflections in dim light, thoughts in overdrive. 🌌","Less talk, more smirks. 😏",POV: You’re looking at someone who knows their worth. 🌟💰,Mirror
/content/drive/MyDrive/Images/Mirror/MIRR (52).jpg,Warning: extreme handsomeness ahead. 🚨,Lifting my way to a stronger version of me.,"The mirror said, ‘You’re good,’ so here we are. 🤘✨",Don’t blame me; the mirror made me do it. 🤷‍♂️,Who needs a hype crew when the mirror’s this loyal? 🤘,Mirror
/content/drive/MyDrive/Images/Mirror/MIRR (92).jpg,"The passport’s stamped, and the mirror’s ready. ✈️",lost in the symmetry of my soul,Mirror check: passed with flying colors. 🌈✔️,"Suitcase full, heart fuller. 🌍",There!,Mirror
/content/drive/MyDrive/Images/Mirror/MIRR (69).jpg,Mirror selfies for the win!,Today’s look? Ambition framed by determination.,"If mirrors could talk, they’d hype me up. 💯",Simplicity is the ultimate sophistication. 🎨,"Post-workout glow hits different, doesn’t it?",Mirror
/content/drive/MyDrive/Images/Mirror/MIRR (3).jpg,Sometimes the best views are in the reflection.,Mirror selfies: the unsung hero of solo travel. 🎒📸,"In the mirror, I see my past, my present, and my potential. 🕰️",Glow,Who needs a photographer when mirrors exist?,Mirror
/content/drive/MyDrive/Images/Mirror/MIRR (93).jpg,"Double the fun, double the vibes.",Don’t blame me; the mirror made me do it. 🤷‍♂️,dress like you're already famous,The mirror captures what words can’t. 🌟,"The passport’s stamped, and the mirror’s ready. ✈️",Mirror
/content/drive/MyDrive/Images/Skyyy/SKY (12).jpg,Where clouds paint stories across the sky,feels like a painting up there!!,"A cloudy sky, nature's own watercolour",weather out today!!,scattered sunset sky,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (68).jpg,Sky perfect💙,"Heading to cloud nine, be right back ☁️✌️",Undeniably in lovee,Just a sky-watching day,"I'm on cloud nine, literally – check my Insta! ☁️✨",Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (42).jpg,I couldnt stop myself but capture this!!,The sky's beauty rivals any work of art.,"Drifting with the clouds, feeling weightless.",Elevate your eyes to the blue silence above,You will never ever fail to make me smile,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (3).jpg,Let the blue sky be your aesthetic muse,My soul dances with the clouds above. 🌊,sweetest time of the day,Nature's canvas.,How sweet to be a cloud floating in blue,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (90).jpg,"When life gives you clouds, make cotton candy dreams! ☁️",Aesthtically pleasing>>>,The sky is an infinite movie to me,Lost in the charm of celestial artistry,"Lost on Earth, found in Clouds",Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (9).jpg,Nature's masterpiece overhead,"Sky above, smiles all around! 😊","“Mind is the second sky on earth, full of mysteries!”― Mehmet Murat ildan",My favorite color? Sky blue! 💙,"If I could paint my room any color, it would look like this beautiful sky",Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (45).jpg,Blue skies are my therapy.,I never get tired of this view,Every blue sky is a fresh start.,“I never get tired of the blue sky.” — Vincent van Gogh,artistic sky today,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (54).jpg,Bathed in the rosy glow of a serene sunset.,"New day, new sky, same old me",No filter needed.,"Sky, you complete me! 💖",In a serious relationship with skies…,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (97).jpg,Blue skies over [your location],"When blue skies are out, I just can’t stay in.","For my part, I know nothing with any certainty, but the sight of the stars makes me want to dream. – Vincent Van Gogh",Pretty skies will forever have my heart <3,Nothing but blue skies from now on.,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (1).jpg,Got my feet on the ground and my head in the clouds.,loves for the sunrise,In love with the sky 💙,Chasing cotton candy clouds.,Whimsical 🌀💫,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (40).jpg,Elevate your eyes to the blue silence above,"tell me, what's not to love about the sky","the glorious lamp of heaven,'the sun'",i love when birds photobomb,Where clouds become art,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (2).jpg,Breathtaking 🌃,Eternal sky scribbles in fluffy white ink ✒️☁️,Sky-high serenity 🏞️☁️,"Silent azure depths, speak in breaths","A moment of serenity, painted in shades of pink.",Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (91).jpg,Just a soul out here cloud surfing 🏄‍♀️☁️,This weather is un-cloud-edly awesome 🌤😄,"Cloud Nine? Nah, this view is so beautiful I feel like I’m on Cloud Ten!",The sky is proof of Mother Nature’s majesty.,Floating through the sky galleries 🖼️☁️,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (38).jpg,"A cloudy sky, a moment to ponder",sunsets heal what others can't,creamy skiess,a love like no other,Opacoraphile,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (43).jpg,"Clouds on fleek, they look like I could eat them.","Every one of these clouds is unique, and there will never be another like them. What a thought.",lost in the beauty of the sky,"Am I staring at the sky, or is the sky staring at me?","Forever that girl, who gets excited with changing colours of sky",Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (53).jpg,Let the sky remind you of how small your worries are,"Silent azure depths, speak in breaths","Cloudy days, clear mind.",On cloud wine with the sky as my limit 🍷☁️,Let the beauty of the sky fill your soul with joy! 🌈,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (5).jpg,The sky's beauty knows no bounds,The sky is truly nature’s masterpiece.,Breathtakingly blue.,"Blue skies, clear mind, endless possibilities.",chasing clouds and dreams,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (16).jpg,Wholesome view,how much sky is too much sky,Catching skies like Pokémon,Cloud watcher by nature ☁️✨,she became the love she searched for,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (36).jpg,"Sky’s beauty, a sight to behold.",just look how pretty it is,Don’t stop looking up. You never know what you might find there.,Cloud-watching is my favorite pastime,tell me something nice like birds and cloudy skies,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (52).jpg,Seeing the world through sky-colored glasses,Chasing clouds and capturing colors. ☁️,Lost in the beauty of the sky,Blue skies over [your location],just pretty clouds here!!,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (55).jpg,Pastel dreams and serene scenes.,sweetest time of the day,Keep calm and watch the sky go by,"Eyes on the sky, heart in the clouds",Finding beauty in every shade of the sky. 🌈,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (15).jpg,"Blue skies, happy vibes.",This>>>>,just look how pretty it is,painting my mood in the shades of blue,Blue skies are my therapy.,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (21).jpg,"Mother Nature decided to blush, and we got a pink sky!",this is what happiness looks like,"A serenade of blue, a poetic view",Where the sky meets the soul.,"Skyscapes and daydreams, the perfect pair 🌤️💤",Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (18).jpg,"If I could paint my room any color, it would look like this beautiful sky","""The sky is the daily bread of the eyes."" – Ralph Waldo Emerson",Why did the cloud stay in school? To become a little brighter! 🌤🎓,Sky is coloured with hopes,Drifting through the week on clouds ☁️🗓️,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (31).jpg,Inhale the beauty of the sky. 🌌,Lost in the beauty of the clear blue sky. Don’t interrupt.,iridescent,Lost in the infinite blue.,Just a soul out here cloud surfing 🏄‍♀️☁️,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (46).jpg,the never ending love for pretty skiess🤍,Where the sky meets the soul.,Does heaven exist in the cloud and sky?,Overcast is underrated ☁️👌,Serene,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (67).jpg,Who needs sunshine when you have cloudy charm? ☁️,why are evenings so pleasingly beautiful,pretty pretty everything!!,"And I kept thinking about how sky is a singular noun, as if it’s one thing. But the sky isn’t one thing. The sky is everything -John Green","Fluffy friends above, happy me below 🐑☁️",Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (64).jpg,why are evenings so pleasingly beautiful,Stargazing: my favorite form of therapy. ✨,"tell me, what's not to love about the sky","I'm on cloud nine, literally – check my Insta! ☁️✨",Clouds – the perfect background for my daydreams 🤔☁️,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (86).jpg,Sunshine and good vibes only! 🌼,Every day is a new adventure under this sky. 🌍,"A serenade of blue, a poetic view",Capturing moments of pure sky happiness.,"Clouds on fleek, they look like I could eat them.",Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (57).jpg,Evening sky✨🌄,The pretty skies tho:),wholesome view,Love the vibe of Sky,Dream in blue.,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (87).jpg,Chasing clouds like they owe me money! 😂,Just a soul out here cloud surfing 🏄‍♀️☁️,the never ending love for pretty skiess🤍,Blushing skies and twilight vibes,Never getting tired of loooking at the sky,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (59).jpg,Happiness comes around skies,chasing clouds and dreams,Breathing in the tranquil blue,There’s something about a blue sky that brings peace to the soul,"Damn,why so pretty?",Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (13).jpg,"I usually make it rain, but I’ll take blue skies for a change.",Finding magic in the gray skies above. ☁️,this moment,more sunshine please🤍,Cloud watcher by nature ☁️✨,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (75).jpg,"If there is nothing else to fall in love with, fall in love with the sky!",these cloudss>>>,Lost in the beauty of the sky.,Stargazing and losing track of time,Let the sky be your inspiration today. 🌤️,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (66).jpg,"Fluffy friends above, happy me below 🐑☁️","She walks by, what a sight for sore eyes, brighter than the blue sky. – Conan Gray",Where the sky meets the soul.,"A moment of serenity, painted in shades of pink.",weather out today!!,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (48).jpg,"When the sky blushes, my heart dances. 💖",The sky is truly nature’s masterpiece.,Finding my zen and spending some quality time with Mother Nature.,Cloud gazing: my new favorite pastime! 🌥️,glowing through the clouds,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (93).jpg,the shadess,"Sunsets are proof that no matter what happens, every day can end beautifully. 🌌",Once you have tasted the taste of sky you will forever look up. – Leonardo Da Vinci,Breathtaking 🌃,feels like a painting up there!!,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (25).jpg,"Gazing at the sky, lost in a daydream.",Clouds – the perfect background for my daydreams 🤔☁️,Peace>>>,it's the cloud appreciation hour,How not to obsess?,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (61).jpg,Heavenly views 🌠,For A Second I Was Almost Jealous Of The Clouds.,Dreamy ☁️✨,i love when birds photobomb,"Just imagine. If I was an angel, these beautiful clouds would be my soft pillows.",Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (56).jpg,"pretty sky,pretty greens",Sunshine and blue skies are my happy place. ☀️,"Just me and the sky, a perfect pair. 💫","Sunrise hues, a glorious sight",the cloud and sun rays here>>>,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (89).jpg,“I never get tired of the blue sky.” — Vincent van Gogh,Chasing sunsets and making memories.,"Damn,why so pretty?",you will bloom right on time,Life is better with a little bit of blue sky! 🌌,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (4).jpg,why are evenings so pleasingly beautiful,Nothing but blue skies ahead.,Just a sky day,Where the sky meets the soul.,Once you have tasted the taste of sky you will forever look up. – Leonardo Da Vinci,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (10).jpg,"Fluffy sky marshmallows, nature's treat 🌥️🍬",Beauty is and always will be blue skies and open highway,it's me and mmy never ending love for pretty skies!!,"Blue skies, brighter days.",Sunsets: nature’s way of flexing on us.,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (29).jpg,Chasing clouds and capturing colors. ☁️,Blushing skies and twilight vibes,My favorite color? Sky blue! 💙,Nothing but blue skies ahead.,Nothing but blue skies from now on.,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (70).jpg,"Eyes on the sky, heart in the clouds",For A Second I Was Almost Jealous Of The Clouds.,"Sky’s symphony, a visual masterpiece.",Heaven's palette on display.,Blue skies and daydreams.,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (83).jpg,Pretty skies will forever have my heart,Clouds made everything beautiful,for the love of pretty skies:),The colours of love!!!,want to just get lost in this moment,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (95).jpg,it's me and mmy never ending love for pretty skies!!,Eternal sky lover ☁️💘,feeling as if I am in cloudland,Above the clouds,"Ethereal skies, capturing moments of beauty.",Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (62).jpg,"Sky, you complete me! 💖","Skyscapes and daydreams, the perfect pair 🌤️💤","Atleast, we are under the same sky",Pretty pretty pretty!!,"Just imagine. If I was an angel, these beautiful clouds would be my soft pillows.",Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (47).jpg,Serenity Sunset: where the world looks like a painted canvas.,"Dusk settles in, painting the sky in pastel shades.","Sky above, earth below, peace within",for the love of pretty skies:),Eternal sky scribbles in fluffy white ink ✒️☁️,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (26).jpg,This is so wholesome,Taking a moment to appreciate the quiet beauty above. 🌼,"Above the ordinary, beneath the clouds ☁️🙌",Beyond the horizon lies endless possibilities.,Blue sky with cotton white clouds,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (85).jpg,"For my part, I know nothing with any certainty, but the sight of the stars makes me want to dream. – Vincent Van Gogh",Cloud watching: nature’s version of TV,"pretty sky,pretty greens","Lost in the colors of the sky, found in my thoughts. 🎨","Cloud Nine? Nah, this view is so beautiful I feel like I’m on Cloud Ten!",Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (7).jpg,Let the blue sky be your aesthetic muse,When the sky was in love,Nature's masterpiece overhead,Every blue sky is a fresh start.,How sweet to be a cloud and floating in blue,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (94).jpg,Blue skies are always a vibe.,Even the sun tries to shine when clouds gather upon it,How not to obsess?,"If I could paint my room any color, it would look like this beautiful sky",Sunshine and blue skies are my happy place. ☀️,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (20).jpg,Evening sky✨🌄,Let your spirit soar as high as the clouds. ☁️,Finding my zen and spending some quality time with Mother Nature.,Cloud watcher by nature ☁️✨,Lost in the charm of celestial artistry,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (80).jpg,"She walks by, what a sight for sore eyes, brighter than the blue sky. – Conan Gray",Chasing clouds and capturing colors. ☁️,Summer blues,Nature’s art is in the sky.,beneath the endless sky💜💙,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (71).jpg,for the love of pretty skies:),In awe of the vastness above.,A symphony of colors painted across the sky,Astrophile,Chasing shadows in the sky 🌥️✨,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (30).jpg,Feeling blue — this view is too good to be true!,Stellar,Wandering under a watercolour sky,"Every one of these clouds is unique, and there will never be another like them. What a thought.",The sky is truly nature’s masterpiece.,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (41).jpg,Lost in the beauty of the sky,Wholesome view,Where the sky meets my soul,Cloud watcher by nature ☁️✨,"nature? nah, art!",Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (6).jpg,The sky is the ultimate art gallery just above us. – Ralph Waldo Emerson,"Hello, blue!",Let the beauty of the sky fill your soul with joy! 🌈,Breathtakingly blue.,unreal and unblemished,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (32).jpg,Cloud watcher by nature ☁️✨,Summer blues,"Blue skies, clear mind, endless possibilities.",Gazing at the mysteries behind the clouds,Every sunset brings the promise of a new dawn. 🌅,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (28).jpg,"A serenade of blue, a poetic view",a love like no other,My one true obession!!,cute lil <3,Breathtakingly blue.,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (22).jpg,Lost in the beauty of the sky,"Sky above, earth below, peace within. 🕊️",Delicate 🌸💭,Painting the evening sky with golden hues.,surreal beauty,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (65).jpg,Even the sky’s imperfections add to its aesthetic charm,Floating on cloud nine,You are the sky. Everything else – it’s just the weather!,"Sunrise hues, a glorious sight",Scattered yet beautiful,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (79).jpg,"Cotton candy skies, moments to cherish","Life is short. Spend more time looking up at the sky, and less scrolling through your feed.",For A Second I Was Almost Jealous Of The Clouds.,Current status: Cloud surfing on my imagination! 🌊,The sky's beauty knows no bounds,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (50).jpg,Finding peace in the vastness of the sky.,Sunshine and good vibes only! 🌼,Peace>>>,Blue skies are always a vibe.,Dream in blue.,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (37).jpg,Pretty skies will forever have my heart,I need you like the sky needs clouds,"Sky’s beauty, a sight to behold.","Damn,why so pretty?",Bliss above.,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (11).jpg,कहीं दूर जब दिन ढल जाए ...,feeling as if I am in cloudland,The sky just photobombed my selfie,The pretty skies tho:),feels like a painting up there!!,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (24).jpg,not all those who wander are lost,Finding shapes and dreams in cloudscapes 🌥️💭,Surrendering to the beauty of pastel dreams.,A symphony of colors painted across the sky,Scattered yet beautiful,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (39).jpg,Where clouds paint stories across the sky,the shadess,Catching skies like Pokémon,Astrophile,Eternal sky lover ☁️💘,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (44).jpg,Blue skies and good times,Embracing the magic of nature's paintbrush,Feeling blue — this view is too good to be true!,Where the sky meets the soul.,Majestic,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (14).jpg,"pretty sky,pretty greens",sunsets are beautiful despite any season,Evening sky>>>>,nothing beats a blue sky and cloudy day!!,Beneath the gentle embrace of cloudy skies,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (23).jpg,my seretonin🧡,Never met a sky that I didnt like,Never getting tired of loooking at the sky,"Just imagine. If I was an angel, these beautiful clouds would be my soft pillows.","I usually make it rain, but I’ll take blue skies for a change.",Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (72).jpg,"Evening serenity, sky’s tranquility.",just look how pretty it is,"Atleast, we are under the same sky","A serenade of blue, a poetic view",Breathing in the beauty of the endless sky.,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (99).jpg,it's the cloud appreciation hour,Nephophile,Where clouds become art,Living life one sky at a time,its all about finding calm in chaos,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (78).jpg,"My spirit animal is a cloud—soft, fluffy, and a little unpredictable! ☁️",Cloudy days are just the sky’s way of showing off its art! ☁️,Breathtakingly blue.,Finding my zen among the clouds. 🧘‍♀️,Where the sky meets the soul.,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (77).jpg,"Every one of these clouds is unique, and there will never be another like them. What a thought.",glowing through the clouds,why are evenings so pleasingly beautiful,"Inhale clouds, exhale stars","Mother Nature’s favorite color must be blue, right?",Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (34).jpg,"Friendly reminder: Everything will be okay, even if it doesn't feel like it right now","If you're looking for me, I'll be cloud-gazing... or napping ☁️😴",Chasing sunsets and making memories.,just pretty clouds here!!,Dreamy ☁️✨,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (33).jpg,Just a soul out here cloud surfing 🏄‍♀️☁️,Chasing cotton candy clouds.,Pure sky bliss.,Breathing in the beauty of the endless sky.,Nature's masterpiece overhead,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (96).jpg,I love looking at the sky and imagining all the possibilities,"Dancing with clouds, twirling in the sky.",Let the blue sky be your aesthetic muse,There’s something about a blue sky that brings peace to the soul,cloud iridescence,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (74).jpg,Don’t stop looking up. You never know what you might find there.,Blue skies are always a vibe.,"Sky above, earth below, peace within. 🕊️",Nature’s art is in the sky.,Beneath the gentle embrace of cloudy skies,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (17).jpg,artistic sky today,"And sometimes, it takes forever to realise why it was important to paint your own sky",Where the sky meets the soul.,"Eyes up, heart open to the sky’s embrace.",beauty in real life,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (27).jpg,My heart belongs to the blue sky.,nothing beats a blue sky and cloudy day!!,"Blue skies, sunshine, everything is fine.",painting my mood in the shades of blue,Overcast is underrated ☁️👌,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (63).jpg,Aesthetics at its finest: the endless expanse of blue.,"Blue skies, brighter days.",Surrendering to the beauty of pastel dreams.,Breathtakingly blue.,Underneath the cotton candy skies.,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (19).jpg,Seeing the world through sky-colored glasses,Never met a sky that I didnt like,I've got a case of the Mondays and the clouds agree ☁️,“Moment the sky embraces the earth is called a rainbow.”― Corina Abdulahm Negura,Blue skies over [your location],Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (60).jpg,"Just me, my camera, and the infinite sky. 📷",beneath the endless sky💜💙,why are evenings so pleasingly beautiful,Catching skies like Pokémon,Eyes on the sky,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (82).jpg,well this picture has my heart,weather out today!!,"When life gives you clouds, make cotton candy dreams! ☁️",In love with the sky 💙,Floating on cloud nine,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (100).jpg,Dream in blue.,Taking a moment to appreciate the quiet beauty above. 🌼,"If clouds are blocking the sun, there will always be a silver lining 🌥️✨",Once you have tasted the taste of sky you will forever look up. – Leonardo Da Vinci,Let the sky remind you of how small your worries are,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (76).jpg,pretty pretty everything!!,"Skyscapes and daydreams, the perfect pair 🌤️💤",These clouds>>>,unfiltered beauty,Scattered yet beautiful,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (51).jpg,Blue sky with cotton white clouds,just pretty clouds here!!,a piece of peace,this is what keeps me alive!!,Looking at clouds is an unpaid therapy,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (98).jpg,Don’t stop looking up. You never know what you might find there.,Those Clouds Are Angels' Robes. -Charles Kingsley,Chasing sunsets and making memories.,Never met a sky that I didnt like,Sinking into the serenity of a pastel-painted evening.,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (92).jpg,Serenity Sunset: where the world looks like a painted canvas.,Elevate your eyes to the blue silence above,"Skies of mystery, moments of wonder 🕵️‍♂️☁️",Magic in the air.,Every day is a new adventure under this sky. 🌍,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (88).jpg,Blue skies and daydreams.,"the glorious lamp of heaven,'the sun'","When blue skies are out, I just can’t stay in.",Chasing clouds and capturing colors. ☁️,"She walks by, what a sight for sore eyes, brighter than the blue sky. – Conan Gray",Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (81).jpg,"Sky above, earth below, peace within","""The sky is the daily bread of the eyes."" – Ralph Waldo Emerson",Looking at clouds is an unpaid therapy,Breathtaking 🌃,You can’t blame me if I talk to the clouds,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (49).jpg,Sinking into the serenity of a pastel-painted evening.,Cloud gazing: my new favorite pastime! 🌥️,In awe of the vastness above.,The sky offers endless beauty for those who look up,Pretty skies will forever have my heart,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (69).jpg,Once you have tasted the taste of sky you will forever look up. – Leonardo Da Vinci,In love with the sky 💙,Horizon's fluffy edge ☁️🌅,Wholesome view,Finding my zen among the clouds. 🧘‍♀️,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (8).jpg,a sky full of stories,"Atleast, we are under the same sky",cloud burst,Scattered yet beautiful,Cloud watching: nature’s version of TV,Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (73).jpg,Live by the sun. Love by the moon.,tell me something nice like birds and cloudy skies,Sunsets: nature’s way of flexing on us.,feeling as if I am in cloudland,"Just me and the sky, a perfect pair. 💫",Skyyy
/content/drive/MyDrive/Images/Skyyy/SKY (58).jpg,"Evening serenity, sky’s tranquility.",Always something new to see in the sky,Forever chasing the horizon 🌈,I've got a case of the Mondays and the clouds agree ☁️,Unpaid therapy,Skyyy
